track_id,track_name,artist_id,artist_names,album_id,album_name,album_artist_id,album_artist_names,album_release_date,album_image_url,disc_number,track_number,track_duration_ms,explicit,popularity,isrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,pop,rock,hip_hop,electronic,rnb_soul,folk,country,ska,dance_disco,indie_alt,retro_vintage,novelty,easy_listening,cultural,jazz,genre_count
4i2WUspbfNZCnhkypoFKrM,Feelin' Way Too Damn Good,6deZN1bslXzeGvOLaLMOIF,Nickelback,4fygErqiNgFUic5hU42Z3E,The Long Road,6deZN1bslXzeGvOLaLMOIF,Nickelback,23/09/2003,https://i.scdn.co/image/ab67616d0000b27315a5f571e2e14b2c182bd0a3,1,5,256453,False,58.0,NLA320320330,0.51,0.818,5.0,-5.626,1.0,0.0415,0.000722,0.000659,0.151,0.395,156.05,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5ttrcoxtfHKa20so1U7l5V,B-52,3Fx75oiItjxMWuSA1mkMmy,Near Mrs,3QxfLOV7oGOuLiINYPKQYo,Sanguine,3Fx75oiItjxMWuSA1mkMmy,Near Mrs,17/06/2021,https://i.scdn.co/image/ab67616d0000b273a1fc8878800886b3e40583d6,1,1,198857,False,0.0,QZHN82119470,0.335,0.96,4.0,-4.155,1.0,0.33,0.00388,0.0,0.319,0.553,83.421,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
78xEO4qUV8ZgMA5TqYbF0L,Pony,6uATIQFyydDXPc2RlLzcUE,Kasey Chambers,5SgPHI9Nm8dffXY8YfFEQR,Wayward Angel,6uATIQFyydDXPc2RlLzcUE,Kasey Chambers,01/01/2004,https://i.scdn.co/image/ab67616d0000b273420ac78e148ed4b1b9f844b3,1,1,282600,False,41.0,AUEM00400100,0.755,0.31,9.0,-8.282,0.0,0.0327,0.689,0.0445,0.107,0.477,113.289,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1XIXkp7bJDMQeINqrKgMjq,Jump in My Car,1o711LqmNPfr4wUF9KEJIE,Ted Mulry Gang,4ide5Gp9T9L8b5WrSYt7Rc,The Essential Ted Mulry Gang,1o711LqmNPfr4wUF9KEJIE,Ted Mulry Gang,19/04/2013,https://i.scdn.co/image/ab67616d0000b273a3d7476909155df3ff17a0c8,1,8,180066,False,0.0,AUAP07400080,0.788,0.673,2.0,-13.027,1.0,0.111,0.524,0.0,0.312,0.837,123.138,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7fKwfHOMJrSSqajdKIa7Hd,Everybody's Somebody's Fool,3EY5DxGdy7x4GelivOjS2Q,Connie Francis,16HB1qo5ljAAhNB4KFcyvL,Rock N' Roll Legends (International Version),3EY5DxGdy7x4GelivOjS2Q,Connie Francis,01/01/2008,https://i.scdn.co/image/ab67616d0000b2739a0d4647652cb13d92466fa2,1,7,159613,False,0.0,USPR36012032,0.592,0.693,1.0,-7.243,1.0,0.029,0.779,1.4e-05,0.182,0.868,84.25,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6WLS56xiRrXjSm9RSdL3zD,Never Forget You,"1Xylc3o4UrD53lo9CvFvVg, 7uMh23xWiuR7zsNkuNcm2G","Zara Larsson, MNEK",1sd9bVAWxBl0qeVS8tzlzL,Never Forget You,"1Xylc3o4UrD53lo9CvFvVg, 7uMh23xWiuR7zsNkuNcm2G","Zara Larsson, MNEK",10/09/2015,https://i.scdn.co/image/ab67616d0000b2736fe5072e9b91105ca3fa8091,1,1,213427,False,2.0,SEWEE1500801,0.583,0.732,11.0,-5.728,0.0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0pDQqfFaPDBQTdvXpWN062,Sexy Eyes - Single Version,0lHoDF96DNKSIcIpcOfMnq,Whigfield,1LFUCeBNp3VgcGPPEdLVUw,Sexy Eyes,0lHoDF96DNKSIcIpcOfMnq,Whigfield,25/03/1996,https://i.scdn.co/image/ab67616d0000b273751acda7496e78a0c69024b1,1,1,241466,False,0.0,IT00D9505007,0.615,0.86,11.0,-9.89,1.0,0.0314,0.0273,0.00589,0.346,0.557,130.681,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2BkyYZmU4JuWW2sYi9EzpC,7 Minutes,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,48M2TlqiSdLFWXK1k7Hoar,7 Minutes,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,18/01/2019,https://i.scdn.co/image/ab67616d0000b2730b5115f6d709f61ec084f26f,1,1,211453,False,55.0,AUUM71800254,0.613,0.739,10.0,-6.478,1.0,0.0311,0.526,0.0,0.149,0.712,104.966,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6EBDmMZBQkWrj7jWlGhFU1,Doctor Jones,6kBjAFKyd0he7LiA5GQ3Gz,Aqua,3hHmYc6mrl6NkmRW1ZwYvm,Aquarium (Special Edition),6kBjAFKyd0he7LiA5GQ3Gz,Aqua,01/01/1997,https://i.scdn.co/image/ab67616d0000b273f5768db89dd8ac30fd0e414f,1,5,203440,False,68.0,DKBKA9700405,0.703,0.8,0.0,-11.645,0.0,0.054,0.145,0.000212,0.0683,0.466,139.968,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7J41dYQolQJEtj3UmKLu5r,U Got It Bad,23zg3TcAtWQy7J6upgbUnj,Usher,6k16WXh4rKyusIoN00rmpi,8701,23zg3TcAtWQy7J6upgbUnj,Usher,07/08/2001,https://i.scdn.co/image/ab67616d0000b2737750146aac26aade0a867913,1,5,247840,False,76.0,USAR10100232,0.816,0.5,1.0,-4.551,1.0,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
